Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
01554,="15:17:11.064",0xEFB4E4,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01555,="15:17:11.153",0xEFB8BF,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4D FB 00 07 
01556,="15:17:11.153",0xEFB8C5,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01557,="15:17:11.153",0xEFB8CB,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01558,="15:17:11.245",0xEFBCA6,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4D FB 00 07 
01559,="15:17:11.245",0xEFBCAC,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01560,="15:17:11.245",0xEFBCB1,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01561,="15:17:11.364",0xEFC08D,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4D FB 00 07 
01562,="15:17:11.364",0xEFC093,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01563,="15:17:11.364",0xEFC098,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01564,="15:17:11.454",0xEFC474,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4D FB 00 07 
01565,="15:17:11.454",0xEFC479,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01566,="15:17:11.454",0xEFC47F,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01567,="15:17:11.544",0xEFC85A,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4D FB 00 07 
01568,="15:17:11.544",0xEFC860,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01569,="15:17:11.544",0xEFC866,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01570,="15:17:11.634",0xEFCC42,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4C FB 00 07 
01571,="15:17:11.664",0xEFCC47,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01572,="15:17:11.664",0xEFCC4D,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
